H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,2,0,.000,加治屋　蓮,3,4,10,0,0,2020,福岡ソフトバンク,30,6,0,0,1,1,0,6,4,6.00
0,0,0,0,5,0,.000,小林　慶祐,2,0,3,0,0,2020,阪　神,14,3,0,0,0,0,0,2,0,0.00
0,0,0,0,18,0,.000,望月　惇志,8,11,18,0,0,2020,阪　神,81,19,0,3,2,0,0,16,11,5.21
2,2,0,0,8,0,.000,桑原　謙太朗,4,4,7,0,0,2020,阪　神,43,10,0,1,2,0,0,12,4,3.48
0,0,0,0,18,0,.000,小川　一平,13,15,28,0,0,2020,阪　神,101,21,0,5,1,0,0,21,11,4.71
8,11,25,0,50,3,.750,Ｒ．スアレス,19,15,36,0,0,2020,阪　神,208,52,1,2,2,0,0,51,13,2.24
1,2,0,0,15,1,.500,伊藤　和雄,20,7,8,0,0,2020,阪　神,74,15,1,1,0,0,0,15,6,3.52
0,0,0,0,0,0,.000,石井　将希,2,1,2,0,0,2020,阪　神,7,1,0,0,0,0,0,1,1,9.00
11,15,1,0,60,4,1.000,島本　浩也,14,13,42,0,0,2019,阪　神,229,59,0,0,4,4,0,63,11,1.67
0,0,0,0,14,2,.667,才木　浩人,5,8,20,0,0,2019,阪　神,70,15,1,0,0,0,0,3,8,4.70
0,0,0,0,3,0,.000,鈴木　翔太,6,5,11,0,0,2018,中　日,44,8,0,1,1,2,0,2,5,5.19
0,0,0,0,16,1,.250,小笠原　慎之介,8,17,22,0,0,2020,中　日,85,19,3,0,4,1,0,4,15,7.11
5,5,0,0,22,0,.000,田島　慎二,8,16,18,0,0,2019,中　日,91,21,1,4,5,2,0,21,16,6.86
0,0,0,0,13,0,.000,橋本　侑樹,13,15,20,0,0,2020,中　日,80,17,0,1,3,1,0,14,14,7.41
13,14,0,0,21,1,.250,谷元　圭介,13,13,20,0,0,2020,中　日,122,30,3,1,3,0,0,36,12,3.60
7,11,0,0,18,4,1.000,又吉　克樹,8,8,22,0,0,2020,中　日,105,26,0,0,2,1,0,26,8,2.77
0,0,0,0,88,6,.462,柳　裕也,29,38,87,0,0,2020,中　日,365,85,7,3,10,6,0,15,34,3.60
0,0,0,0,43,2,.400,梅津　晃大,19,22,39,0,1,2020,中　日,184,43,3,1,4,1,0,7,18,3.74
3,5,3,0,27,2,.500,岡田　俊哉,14,20,28,0,0,2020,中　日,112,24,2,2,3,0,0,29,13,4.88
0,0,0,0,148,11,.647,大野　雄大,23,33,106,6,10,2020,中　日,559,148,6,3,13,0,2,20,30,1.82
0,0,0,0,72,8,.800,福谷　浩司,13,27,81,0,0,2020,中　日,359,92,2,2,7,1,0,14,27,2.64
4,4,0,0,12,0,.000,佐藤　優,6,18,18,0,0,2020,中　日,77,16,0,1,2,2,0,14,17,9.18
0,0,0,0,5,0,.000,山井　大介,5,8,12,0,0,2020,中　日,42,8,0,1,1,1,0,6,8,9.00
28,30,3,0,35,2,1.000,祖父江　大輔,7,10,42,0,0,2020,中　日,195,50,0,2,1,0,0,54,10,1.79
25,30,2,0,39,5,.500,福　敬登,23,24,43,0,0,2020,中　日,217,50,5,1,4,1,0,53,20,3.55
0,0,0,0,41,2,.500,岡野　祐一郎,13,30,50,0,0,2020,中　日,189,42,2,2,9,3,0,11,29,6.17
0,0,0,0,50,3,.300,松葉　貴大,17,33,86,0,0,2020,中　日,319,73,7,4,9,2,0,15,33,4.05
1,1,0,0,0,0,.000,石川　翔,0,0,0,0,0,2018,中　日,3,1,0,0,0,0,0,1,0,0.00
0,0,0,0,56,4,.444,勝野　昌慶,17,32,74,0,0,2020,中　日,298,72,5,7,7,2,0,13,31,3.88
0,0,0,0,7,0,.000,三ツ間　卓也,2,10,11,0,0,2020,中　日,27,4,0,0,1,1,0,4,10,20.77
0,0,0,0,4,0,.000,鈴木　博志,6,12,14,0,0,2020,中　日,44,7,0,0,2,0,0,6,11,12.91
0,0,0,0,22,3,.600,笠原　祥太郎,17,23,39,0,0,2019,中　日,158,34,2,0,4,1,0,8,22,5.71
0,0,0,0,21,1,.500,清水　達也,15,9,15,0,0,2020,中　日,92,21,1,1,3,0,0,6,8,3.38
0,0,0,0,3,0,.000,マルク,3,4,5,0,0,2020,中　日,17,3,0,0,1,0,0,3,4,12.00
3,4,1,0,21,1,1.000,藤嶋　健人,9,11,21,0,0,2020,中　日,103,25,0,2,5,1,0,26,11,3.91
0,0,0,0,25,1,.250,山本　拓実,17,20,31,0,0,2020,中　日,133,29,3,0,4,1,0,9,18,5.59
0,0,0,2,67,3,.429,Ｙ．ロドリゲス,21,30,50,0,0,2020,中　日,248,59,4,2,4,5,0,11,27,4.12
0,0,0,0,5,0,.000,濱田　達郎,3,4,7,0,0,2020,中　日,27,5,0,0,2,1,0,7,4,6.75
7,9,21,0,49,2,1.000,Ｒ．マルティネス,12,5,24,0,0,2020,中　日,155,40,0,2,2,1,0,40,5,1.13
0,0,1,0,24,0,.000,木下　雄介,12,9,19,0,0,2020,中　日,81,17,0,1,1,1,0,18,8,4.08
0,0,0,0,10,0,.000,丸山　泰資,6,13,16,0,0,2017,中　日,57,12,0,0,2,1,0,8,11,8.25
0,0,0,0,31,4,.667,東　克樹,10,17,38,0,0,2019,横浜DeNA,161,38,2,1,4,1,0,7,16,3.76
0,0,0,1,10,0,.000,阪口　皓亮,7,10,22,0,0,2020,横浜DeNA,62,12,2,1,2,0,0,3,10,7.50
4,7,0,0,39,3,.750,伊勢　大夢,12,9,28,0,0,2020,横浜DeNA,143,35,1,0,2,2,0,33,7,1.80
25,26,0,0,46,1,.200,石田　健大,14,15,32,0,0,2020,横浜DeNA,176,42,4,3,1,1,0,50,12,2.53
0,0,0,1,81,10,.625,大貫　晋一,29,34,96,0,1,2020,横浜DeNA,452,113,6,0,13,3,1,19,32,2.53
5,8,18,0,46,3,.750,三嶋　一輝,13,13,30,0,0,2020,横浜DeNA,180,47,1,1,1,1,0,48,13,2.45
8,8,6,0,31,0,.000,山﨑　康晃,14,26,52,0,0,2020,横浜DeNA,176,38,3,1,4,0,0,40,24,5.68
0,0,0,0,29,4,.800,坂本　裕哉,17,30,48,0,0,2020,横浜DeNA,200,46,1,1,10,3,0,10,29,5.67
0,0,0,0,63,5,.625,今永　昇太,17,24,47,0,0,2020,横浜DeNA,224,53,3,2,2,1,0,9,19,3.23
0,0,0,0,20,0,.000,齋藤　俊介,8,19,31,0,0,2019,横浜DeNA,115,25,1,3,1,2,0,16,16,5.76
0,0,0,0,67,6,.545,濵口　遥大,47,43,84,0,0,2020,横浜DeNA,363,78,5,4,8,3,0,16,40,4.60
0,0,0,0,50,2,.400,上茶谷　大河,20,29,57,1,1,2020,横浜DeNA,247,59,3,4,8,2,0,11,27,4.12
0,0,0,0,9,0,.000,飯塚　悟史,3,14,17,0,0,2019,横浜DeNA,52,11,1,0,4,1,0,5,14,11.12
11,11,0,0,46,1,.500,平田　真吾,25,16,38,0,0,2020,横浜DeNA,195,44,1,3,2,2,0,43,14,2.84
0,0,0,0,7,0,.000,三上　朋也,6,4,13,0,0,2020,横浜DeNA,55,13,0,1,0,1,0,10,4,2.77
0,0,0,0,4,0,.000,櫻井　周斗,3,6,12,0,0,2020,横浜DeNA,35,7,0,1,0,0,0,3,6,7.36
0,0,0,0,8,0,.000,進藤　拓也,3,3,5,0,0,2020,横浜DeNA,24,5,0,0,1,0,0,5,3,5.06
0,0,0,0,29,2,.500,Ｍ．ピープルズ,13,22,40,0,0,2020,横浜DeNA,166,38,2,0,6,2,0,10,21,4.97
4,4,0,0,14,0,.000,砂田　毅樹,5,6,10,0,0,2020,横浜DeNA,68,17,0,0,2,2,0,17,5,2.65
0,0,0,0,25,2,.667,京山　将弥,11,15,29,0,0,2020,横浜DeNA,127,29,1,0,4,1,0,6,15,4.66
0,0,0,0,22,0,.000,武藤　祐太,18,29,42,0,0,2020,横浜DeNA,154,31,1,1,3,1,0,21,26,7.47
0,0,0,0,65,4,.400,平良　拳太郎,17,24,75,0,1,2020,横浜DeNA,335,83,6,0,3,2,0,14,21,2.27
17,18,0,0,58,1,.200,Ｅ．エスコバー,17,15,39,0,0,2020,横浜DeNA,217,54,4,0,3,4,0,56,14,2.33
0,0,0,0,11,0,.000,風張　蓮,9,13,22,0,0,2020,東京ヤクルト,75,14,0,2,2,1,0,11,13,7.98
10,13,0,0,51,3,.429,国吉　佑樹,22,18,36,0,0,2020,横浜DeNA,191,46,4,1,5,4,0,42,16,3.13
0,0,0,0,3,0,.000,中川　虎大,4,5,6,0,0,2020,横浜DeNA,27,6,1,0,2,0,0,3,5,7.11
0,0,0,0,1,0,.000,笠井　崇正,2,2,2,0,0,2020,横浜DeNA,7,1,0,0,0,0,0,1,2,18.00
0,1,0,0,14,1,.500,田中　健二朗,6,9,14,0,0,2018,横浜DeNA,54,12,1,0,2,0,0,11,9,6.57
0,0,0,0,106,8,.571,九里　亜蓮,44,46,116,1,2,2020,広島東洋,544,130,6,4,11,0,0,20,43,2.96
0,0,0,0,38,5,.556,大瀬良　大地,14,33,70,0,2,2020,広島東洋,272,63,4,0,6,1,0,11,31,4.41
1,1,0,0,1,0,.000,今村　猛,2,6,10,0,0,2020,広島東洋,25,4,0,1,0,0,0,6,6,12.46
0,0,0,0,4,0,.000,岡田　明丈,11,12,9,0,0,2019,広島東洋,39,7,2,0,2,0,0,3,11,14.14
0,0,0,0,124,10,.769,森下　暢仁,32,30,102,1,2,2020,広島東洋,485,122,3,2,6,4,1,18,26,1.91
0,0,0,0,35,6,.667,野村　祐輔,22,36,81,0,0,2020,広島東洋,309,70,3,0,9,3,0,13,36,4.58
0,1,0,0,3,1,1.000,中﨑　翔太,3,5,8,0,0,2020,広島東洋,25,5,0,0,3,0,0,6,5,9.00
2,2,0,0,33,1,.333,薮田　和樹,31,25,44,0,0,2020,広島東洋,213,47,2,6,5,0,0,28,24,4.60
4,4,0,0,22,0,.000,中田　廉,8,13,28,0,0,2020,広島東洋,116,27,1,0,6,0,0,32,13,4.28
0,0,0,0,56,5,.385,床田　寛樹,23,51,101,0,0,2020,広島東洋,343,76,8,1,10,0,0,15,42,4.93
11,12,0,0,55,1,.500,ケムナ　誠,23,22,37,0,0,2020,広島東洋,212,51,1,3,3,1,0,41,22,3.88
2,2,1,0,14,0,.000,一岡　竜司,5,12,25,0,0,2020,広島東洋,81,17,1,0,2,1,0,19,12,6.23
0,0,0,0,17,1,.333,高橋　昂也,16,23,30,0,0,2018,広島東洋,110,21,2,0,5,0,0,6,22,9.43
19,22,0,0,41,3,.429,塹江　敦哉,31,26,50,0,0,2020,広島東洋,224,49,4,4,7,1,0,52,23,4.17
4,5,1,0,53,1,1.000,菊池　保則,19,24,41,0,0,2020,広島東洋,189,42,0,3,6,3,0,44,21,4.50
0,0,0,0,10,0,.000,矢崎　拓也,5,9,11,0,0,2020,広島東洋,39,7,0,2,3,1,0,6,8,9.39
4,5,0,0,48,1,1.000,島内　颯太郎,28,23,29,0,0,2020,広島東洋,166,37,0,1,1,1,0,38,19,4.54
0,0,0,0,15,0,.000,高橋　樹也,8,18,31,0,0,2020,広島東洋,94,18,0,1,3,1,0,18,17,8.20
0,0,0,0,21,1,.250,山口　翔,13,14,25,0,0,2019,広島東洋,117,26,3,2,3,3,0,9,14,4.85
0,0,0,0,52,3,.375,アドゥワ　誠,27,52,101,0,1,2019,広島東洋,404,91,5,2,14,4,1,19,44,4.32
0,0,0,0,0,0,.000,田中　法彦,1,0,1,0,0,2020,広島東洋,8,2,0,0,0,0,0,2,0,0.00
0,0,0,0,4,0,.000,藤井　黎來,1,2,4,0,0,2020,広島東洋,14,3,0,0,0,0,0,3,2,6.00
1,1,0,0,4,0,.000,中村　恭平,8,1,7,0,0,2020,広島東洋,44,9,0,0,0,1,0,14,1,0.96
0,0,0,1,97,5,.455,遠藤　淳志,52,53,90,0,2,2020,広島東洋,464,107,6,2,13,4,1,19,46,3.87
0,0,0,0,37,3,.429,中村　祐太,11,12,42,0,0,2020,広島東洋,191,46,4,1,8,2,0,8,12,2.31
0,0,0,0,7,0,.000,Ｔ．スコット,8,14,17,0,0,2020,広島東洋,49,8,3,0,1,1,0,7,14,15.75
7,9,19,0,62,2,.400,Ｇ．フランスア,17,18,39,0,0,2020,広島東洋,217,55,3,1,7,1,0,53,15,2.45
0,0,0,0,13,0,.000,戸田　隆矢,9,11,22,0,0,2018,広島東洋,82,17,0,0,3,0,0,7,10,5.19
0,0,0,0,2,0,.000,奥川　恭伸,0,5,9,0,0,2020,東京ヤクルト,15,2,1,0,1,0,0,1,5,22.50
4,7,20,0,58,3,.600,石山　泰稚,11,10,42,0,0,2020,東京ヤクルト,186,44,2,2,2,1,0,44,10,2.01
0,0,0,0,84,3,.333,高梨　裕稔,38,43,101,0,0,2020,東京ヤクルト,412,94,6,3,11,0,0,18,43,4.12
0,0,0,0,20,2,.500,Ｒ．バンデンハーク,10,21,28,0,0,2020,福岡ソフトバンク,113,26,2,0,6,0,0,5,20,6.92
1,1,0,0,14,2,.500,原　樹理,13,16,20,0,0,2020,東京ヤクルト,88,17,2,0,6,1,0,5,10,5.19
30,30,0,0,58,0,.000,清水　昇,16,23,45,0,0,2020,東京ヤクルト,221,53,4,2,10,1,0,52,21,3.54
3,4,0,0,27,1,1.000,寺島　成輝,15,14,41,0,0,2020,東京ヤクルト,163,36,0,1,5,1,0,30,10,2.48
0,0,0,0,41,2,.200,石川　雅規,19,40,85,0,0,2020,東京ヤクルト,331,76,8,2,7,2,0,15,38,4.48
3,3,0,0,40,0,.000,星　知弥,24,28,57,0,0,2020,東京ヤクルト,216,48,1,2,7,1,0,36,28,5.25
0,0,0,0,3,0,.000,坂本　光士郎,4,6,5,0,0,2020,東京ヤクルト,19,3,0,0,1,1,0,1,4,12.00
0,0,0,1,53,2,.222,吉田　大喜,34,40,80,0,0,2020,東京ヤクルト,308,67,7,2,10,0,0,14,39,5.21
0,0,0,0,83,10,.556,小川　泰弘,29,64,132,1,1,2020,東京ヤクルト,515,119,8,2,20,2,0,20,61,4.61
2,2,1,0,58,5,.417,田口　麗斗,26,48,91,0,0,2020,読　売,379,89,7,2,10,5,0,26,46,4.63
23,27,0,1,52,4,.800,Ｓ．マクガフ,15,20,42,0,0,2020,東京ヤクルト,195,46,1,2,4,3,0,50,20,3.91
12,17,0,0,35,5,.714,梅野　雄吾,17,18,37,0,0,2020,東京ヤクルト,175,42,2,1,6,0,0,42,17,3.61
0,0,0,0,52,4,.500,Ａ．スアレス,27,25,56,0,0,2020,東京ヤクルト,285,67,4,2,4,6,0,12,20,2.67
0,0,0,0,6,0,.000,大西　広樹,5,5,14,0,0,2020,東京ヤクルト,44,9,1,0,1,0,0,5,5,5.00
0,0,0,0,51,1,.250,高橋　奎二,21,24,47,0,0,2020,東京ヤクルト,212,48,3,1,6,4,0,10,21,3.94
0,0,0,0,10,0,.000,金久保　優斗,5,6,10,0,0,2020,東京ヤクルト,44,10,0,0,0,0,0,3,6,5.40
7,8,0,1,45,1,.333,長谷川　宙輝,23,29,50,0,0,2020,東京ヤクルト,196,43,2,2,3,0,0,44,28,5.82
0,0,0,0,15,0,.000,久保　拓眞,5,9,15,0,0,2020,東京ヤクルト,61,13,1,0,1,1,0,10,9,5.93
0,0,0,0,21,1,.333,歳内　宏明,13,17,49,0,0,2020,東京ヤクルト,157,33,2,0,2,1,0,7,16,4.28
0,0,0,1,6,0,.000,中尾　輝,5,5,9,0,0,2020,東京ヤクルト,41,9,0,0,3,0,0,5,5,5.00
0,0,0,0,10,0,.000,大下　佑馬,3,11,20,0,0,2020,東京ヤクルト,72,16,1,1,2,0,0,13,10,5.51
0,0,0,0,3,0,.000,宮台　康平,4,2,4,0,0,2018,北海道日本ハム,24,4,0,1,0,2,0,1,2,3.86
0,0,0,0,36,0,.000,今野　龍太,13,10,23,0,0,2020,東京ヤクルト,113,25,1,4,1,0,0,20,8,2.84
0,0,0,0,9,0,.000,蔵本　治孝,3,13,26,0,0,2019,東京ヤクルト,63,12,0,0,3,1,0,8,13,9.24
0,0,0,0,0,0,.000,雄平,0,0,1,0,0,2009,東京ヤクルト,4,1,0,0,0,0,0,1,0,0.00
1,1,0,0,4,0,.000,近藤　弘樹,5,4,5,0,0,2020,東北楽天,31,6,0,1,2,1,0,6,4,5.40
0,0,0,0,2,0,.000,小澤　怜史,1,3,5,0,0,2017,福岡ソフトバンク,12,2,0,0,0,0,0,2,3,13.50
0,0,0,0,8,2,1.000,大竹　耕太郎,3,4,13,0,0,2020,福岡ソフトバンク,60,15,0,0,1,0,0,3,4,2.30
3,4,0,0,17,1,1.000,津森　宥紀,8,5,15,0,0,2020,福岡ソフトバンク,72,16,0,1,2,1,0,14,5,2.76
0,0,0,0,28,4,.444,二保　旭,24,40,63,0,0,2020,福岡ソフトバンク,256,56,5,1,5,6,0,12,31,4.92
0,0,0,0,102,9,.818,東浜　巨,49,32,83,0,0,2020,福岡ソフトバンク,479,119,2,2,10,2,0,19,31,2.34
10,10,0,0,20,0,.000,岩嵜　翔,6,12,19,0,0,2020,福岡ソフトバンク,70,15,2,0,3,1,0,17,12,7.20
0,0,0,0,23,2,.500,武田　翔太,14,19,34,0,0,2020,福岡ソフトバンク,121,25,2,2,7,1,0,7,18,6.48
26,28,8,0,73,2,.286,甲斐野　央,34,28,49,0,0,2019,福岡ソフトバンク,253,58,5,3,6,4,0,65,27,4.14
0,0,0,0,75,8,.889,和田　毅,31,30,66,0,0,2020,福岡ソフトバンク,346,85,1,1,7,1,0,16,28,2.94
0,0,0,0,0,0,.000,田中　正義,2,0,1,0,0,2019,福岡ソフトバンク,5,0,0,0,0,0,0,1,0,0.00
23,27,0,0,29,4,.667,高橋　礼,24,17,42,0,0,2020,福岡ソフトバンク,220,51,2,1,2,9,0,52,15,2.65
0,1,0,0,103,11,.786,石川　柊太,41,32,68,1,2,2020,福岡ソフトバンク,443,111,3,0,9,12,0,18,30,2.42
1,2,0,0,13,1,.500,椎野　新,5,7,12,0,0,2020,福岡ソフトバンク,49,11,1,1,1,0,0,12,7,5.73
38,40,1,0,77,2,.400,Ｌ．モイネロ,25,9,26,0,0,2020,福岡ソフトバンク,193,48,3,0,1,2,0,50,9,1.69
1,1,1,0,66,2,.222,Ｎ．マルティネス,40,44,76,0,0,2020,北海道日本ハム,344,76,7,8,8,3,0,17,39,4.62
6,7,32,0,40,1,.500,森　唯斗,13,14,39,0,0,2020,福岡ソフトバンク,205,51,1,0,4,2,0,52,13,2.28
0,0,0,0,2,0,.000,尾形　崇斗,3,3,2,0,0,2020,福岡ソフトバンク,8,1,0,0,0,0,0,1,3,27.00
1,1,0,0,22,0,.000,杉山　一樹,6,5,15,0,0,2020,福岡ソフトバンク,69,16,0,1,1,0,0,11,4,2.16
0,0,0,0,149,11,.647,千賀　滉大,57,37,90,0,1,2020,福岡ソフトバンク,503,121,6,5,4,2,0,18,29,2.16
17,20,0,0,58,3,.600,髙橋　純平,17,17,36,0,0,2019,福岡ソフトバンク,205,51,2,2,4,5,0,45,15,2.65
0,0,0,0,1,0,.000,渡邉　雄大,1,0,0,0,0,2020,福岡ソフトバンク,6,1,0,0,0,0,0,3,0,0.00
0,0,0,0,9,0,.000,古谷　優人,6,3,5,0,0,2020,福岡ソフトバンク,29,5,0,1,0,0,0,4,2,3.18
2,4,0,0,29,2,.500,板東　湧梧,10,9,26,0,0,2020,福岡ソフトバンク,129,31,2,0,4,0,0,15,9,2.56
8,8,0,0,28,0,.000,泉　圭輔,19,9,26,0,0,2020,福岡ソフトバンク,143,34,1,1,1,1,0,40,8,2.08
0,0,0,0,6,0,.000,田浦　文丸,6,5,8,0,0,2019,福岡ソフトバンク,41,10,0,0,1,0,0,8,5,4.50
18,21,0,0,33,3,.750,嘉弥真　新也,10,7,18,0,0,2020,福岡ソフトバンク,117,30,1,0,1,2,0,50,7,2.10
0,1,5,0,9,1,1.000,Ｄ．サファテ,3,2,4,0,0,2018,福岡ソフトバンク,25,6,0,0,0,0,0,6,2,3.00
0,0,0,1,7,0,.000,奥村　政稔,3,1,3,0,0,2020,福岡ソフトバンク,20,4,0,0,0,2,0,5,1,2.08
4,4,0,0,15,0,.000,川原　弘之,14,5,12,0,0,2020,福岡ソフトバンク,79,18,0,2,0,3,0,22,4,2.00
6,6,0,0,27,0,.000,松本　裕樹,19,11,20,0,0,2020,福岡ソフトバンク,120,28,1,2,4,0,0,25,11,3.49
0,1,0,0,67,4,.500,笠谷　俊介,31,21,44,0,0,2020,福岡ソフトバンク,246,57,4,0,2,4,0,20,18,2.84
0,0,0,0,5,0,.000,佐々木　千隼,2,4,7,0,0,2020,千葉ロッテ,23,4,0,1,1,1,0,5,4,8.31
0,0,0,0,77,7,.538,石川　歩,26,65,138,0,0,2020,千葉ロッテ,555,133,6,3,19,4,0,21,63,4.25
0,0,0,0,88,10,.714,美馬　学,25,62,130,0,1,2020,千葉ロッテ,517,123,4,3,9,0,1,19,54,3.95
0,0,0,0,41,3,.600,種市　篤暉,15,18,43,1,1,2020,千葉ロッテ,198,46,2,0,7,5,0,7,18,3.47
0,0,0,0,79,9,.750,二木　康太,12,36,72,1,1,2020,千葉ロッテ,361,92,3,3,7,3,1,15,35,3.40
14,15,0,0,23,1,.500,唐川　侑己,9,4,22,0,0,2020,千葉ロッテ,118,30,1,0,1,0,0,32,4,1.19
